Wall time,Step,Value
1669433605.418976,0,0.7454872131347656
1669433687.174687,1,0.8978191614151001
1669433768.729483,2,0.9450297951698303
1669433850.399933,3,0.9720248579978943
1669433931.77278,4,0.9841950535774231
1669434013.616217,5,0.9888507723808289
1669434092.595179,6,0.9921587705612183
1669434172.271348,7,0.9933840036392212
1669434252.143287,8,0.9934656620025635
1669434331.78552,9,0.9939557313919067
1669434412.252409,10,0.9934248328208923
1669434490.724907,11,0.9942007660865784
1669434573.636464,12,0.9957935214042664
1669434654.7568,13,0.9944866299629211
1669434733.24125,14,0.9890141487121582
1669434811.971793,15,0.9799885749816895
